Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700438601,5,,Aggregated,0.700000,0.000000,3100,3400,4100,4400,5600,6600,12000,12000,12000,12000,12000,23,0,3100.0,3452.4678304378936,867.7879000024404,11512.270799983526,17325416.826086957
1700438602,5,,Aggregated,0.700000,0.000000,3100,3400,4100,4400,5600,6600,12000,12000,12000,12000,12000,23,0,3100.0,3452.4678304378936,867.7879000024404,11512.270799983526,17325416.826086957
1700438603,5,,Aggregated,0.800000,0.000000,3100,3200,4100,4400,5600,6600,12000,12000,12000,12000,12000,24,0,2800.0,3370.017104169771,867.7879000024404,11512.270799983526,17165317.666666668
1700438604,5,,Aggregated,0.700000,0.000000,2800,3200,3500,4400,5600,6600,12000,12000,12000,12000,12000,25,0,2800.0,3282.781260003103,867.7879000024404,11512.270799983526,16770022.04
1700438605,5,,Aggregated,0.700000,0.000000,2800,3200,4100,4400,6000,6600,12000,12000,12000,12000,12000,27,0,2800.0,3310.8159370399167,867.7879000024404,11512.270799983526,16526541.666666666
1700438606,5,,Aggregated,0.700000,0.000000,2800,3200,4100,4400,6000,6600,12000,12000,12000,12000,12000,27,0,2800.0,3310.8159370399167,867.7879000024404,11512.270799983526,16526541.666666666
1700438607,5,,Aggregated,0.800000,0.000000,2800,3200,4100,4400,6000,6600,12000,12000,12000,12000,12000,28,0,2800.0,3231.503871431674,867.7879000024404,11512.270799983526,16196412.57142857
1700438608,5,,Aggregated,0.800000,0.000000,2800,3200,3500,4400,6000,6600,12000,12000,12000,12000,12000,30,0,2800.0,3053.499416669365,559.1652999864891,11512.270799983526,15188839.266666668
1700438609,5,,Aggregated,0.800000,0.000000,2800,3200,3500,4100,5600,6600,12000,12000,12000,12000,12000,32,0,2500.0,2900.0829656279166,559.1652999864891,11512.270799983526,14307212.625
1700438610,5,,Aggregated,0.800000,0.000000,2800,3200,3500,4100,5600,6600,12000,12000,12000,12000,12000,32,0,2500.0,2900.0829656279166,559.1652999864891,11512.270799983526,14307212.625
1700438611,5,,Aggregated,1.000000,0.000000,2500,3200,3400,4100,5600,6600,12000,12000,12000,12000,12000,33,0,2500.0,2829.8267121241556,559.1652999864891,11512.270799983526,13906473.242424242
1700438613,5,,Aggregated,1.000000,0.000000,2500,3200,3400,4100,5600,6600,12000,12000,12000,12000,12000,33,0,2500.0,2829.8267121241556,559.1652999864891,11512.270799983526,13906473.242424242
1700438614,5,,Aggregated,1.000000,0.000000,2500,3100,3200,3500,5600,6600,12000,12000,12000,12000,12000,37,0,2500.0,2585.629043245619,559.1652999864891,11512.270799983526,12520131.594594594
1700438615,5,,Aggregated,1.000000,0.000000,2500,3100,3200,3500,5600,6600,12000,12000,12000,12000,12000,37,0,2500.0,2585.629043245619,559.1652999864891,11512.270799983526,12520131.594594594
1700438616,5,,Aggregated,1.000000,0.000000,2500,3100,3200,3500,5600,6600,12000,12000,12000,12000,12000,37,0,2500.0,2585.629043245619,559.1652999864891,11512.270799983526,12520131.594594594
1700438617,5,,Aggregated,1.300000,0.000000,2500,3100,3200,3500,5600,6600,12000,12000,12000,12000,12000,38,0,2500.0,2533.396989475525,559.1652999864891,11512.270799983526,12219149.52631579
1700438618,5,,Aggregated,1.200000,0.000000,2500,2800,3200,3500,5600,6600,12000,12000,12000,12000,12000,39,0,2500.0,2483.7186076941016,559.1652999864891,11512.270799983526,11933602.435897436
1700438619,5,,Aggregated,1.000000,0.000000,1900,2800,3200,3400,4500,6000,12000,12000,12000,12000,12000,42,0,1500.0,2346.7441857161853,559.1652999864891,11512.270799983526,11158546.047619049
1700438620,5,,Aggregated,1.000000,0.000000,1900,2800,3200,3400,4500,6000,12000,12000,12000,12000,12000,42,0,1500.0,2346.7441857161853,559.1652999864891,11512.270799983526,11158546.047619049
1700438621,5,,Aggregated,1.100000,0.000000,1500,2800,3200,3400,4500,6000,12000,12000,12000,12000,12000,43,0,1500.0,2305.7153162811774,559.1652999864891,11512.270799983526,10924226.674418604
1700438622,5,,Aggregated,1.200000,0.000000,1500,2800,3200,3400,4500,6000,12000,12000,12000,12000,12000,44,0,1300.0,2266.4948431841117,559.1652999864891,11512.270799983526,10700558.181818182
1700438623,5,,Aggregated,1.000000,0.000000,1300,2800,3200,3400,4500,6000,12000,12000,12000,12000,12000,45,0,1300.0,2228.8639022244347,559.1652999864891,11512.270799983526,10486830.51111111
1700438624,5,,Aggregated,1.100000,0.000000,1200,2800,3200,3200,4500,6000,12000,12000,12000,12000,12000,47,0,1200.0,2157.8106297894647,554.7529000032227,11512.270799983526,10086659.553191489
1700438625,5,,Aggregated,1.100000,0.000000,1200,2500,3200,3200,4500,6000,12000,12000,12000,12000,12000,48,0,1100.0,2125.435108335296,554.7529000032227,11512.270799983526,9899079.416666666
